game_id,date,season,home_team,away_team,home_score,away_score,total_score,point_diff,home_won,home_wins_l10,away_wins_l10,home_total_l10,away_total_l10,home_plus_minus_l10,away_plus_minus_l10,plus_minus_diff,home_ppg_l10,away_ppg_l10,ppg_diff,home_opp_ppg_l10,away_opp_ppg_l10,opp_ppg_diff,home_tov_l10,away_tov_l10,home_blk_l10,away_blk_l10,home_stl_l10,away_stl_l10,home_rest_days,away_rest_days,rest_days_diff,is_back_to_back_home,is_back_to_back_away,home_top3_avg_ppg,away_top3_avg_ppg,home_top5_avg_ppg,away_top5_avg_ppg,home_top6_avg_ppg,away_top6_avg_ppg,home_top5_avg_mpg,away_top5_avg_mpg,home_top6_avg_mpg,away_top6_avg_mpg,home_top3_avg_apg,away_top3_avg_apg,home_top5_avg_apg,away_top5_avg_apg,home_top6_avg_apg,away_top6_avg_apg,home_top3_avg_rpg,away_top3_avg_rpg,home_top5_avg_rpg,away_top5_avg_rpg,home_top6_avg_rpg,away_top6_avg_rpg,home_top3_avg_blk,away_top3_avg_blk,home_top5_avg_blk,away_top5_avg_blk,home_top6_avg_blk,away_top6_avg_blk,home_top3_avg_stl,away_top3_avg_stl,home_top5_avg_stl,away_top5_avg_stl,home_top6_avg_stl,away_top6_avg_stl,home_top3_avg_tov,away_top3_avg_tov,home_top5_avg_tov,away_top5_avg_tov,home_top6_avg_tov,away_top6_avg_tov,home_top6_total_plusminus,away_top6_total_plusminus,home_depth_variance,away_depth_variance,home_fg_pct_l10,away_fg_pct_l10,home_fg3_pct_l10,away_fg3_pct_l10
22500196,2025-11-09,2025-26,GSW,IND,114,83,197,31.0,1,5.0,1.0,232.8,230.3,-0.6,-10.9,10.3,116.1,109.7,6.3999999999999915,116.7,120.6,-3.8999999999999915,16.7,14.2,4.3,4.8,8.7,6.8,1.0,0.0,1.0,0,1,12.034965034965035,9.305555555555555,11.140979020979021,7.463333333333333,11.534149184149184,7.091239316239316,23.74290761460761,19.655158333333333,24.27708571058571,18.822461004273503,4.3247863247863245,3.3333333333333335,3.114871794871795,2.4,3.155250305250305,2.128205128205128,4.55011655011655,4.022222222222223,4.016736596736597,4.033333333333333,4.394899544899545,3.80982905982906,0.31142191142191145,0.18055555555555558,0.5001864801864802,0.36833333333333335,0.47634587634587633,0.6018162393162393,1.0046620046620047,0.6305555555555555,0.8561305361305361,0.5583333333333333,0.7848706848706849,0.4909188034188034,2.107070707070707,1.5666666666666667,1.730909090909091,1.08,1.9186147186147187,1.0794871794871794,16.353446553446556,-13.681410256410256,3.6502175154036016,3.554260568639759,0.46340000000000003,0.404,0.3804,0.2969
22500194,2025-11-09,2025-26,MEM,OKC,100,114,214,-14.0,0,4.0,9.0,234.2,232.9,-4.0,13.5,-17.5,115.1,123.2,-8.100000000000009,119.1,109.7,9.399999999999991,14.7,12.3,4.1,5.6,8.0,10.5,1.0,1.0,0.0,0,0,14.792592592592593,18.344988344988344,14.430317460317463,16.892707292707293,13.751455026455028,16.225404225404226,26.080521693121693,28.334183483183484,25.742518077601414,27.202313396480065,4.118518518518519,4.472527472527473,2.9782539682539686,3.698901098901099,3.017592592592593,3.2861212861212863,5.162962962962964,4.024309024309025,5.135873015873016,6.115684315684317,4.767989417989418,5.68899618899619,0.23703703703703702,0.5689310689310689,0.5088888888888888,0.7655344655344656,0.4597883597883598,0.6564639064639065,1.0518518518518518,1.7222777222777221,0.8453968253968254,1.4949050949050948,0.8235449735449736,1.3568653568653568,2.088888888888889,1.6500166500166502,1.893809523809524,1.902097902097902,1.7924603174603178,1.7147112147112147,-16.38888888888889,42.412753912753914,3.9617880787872957,7.127953233001418,0.4439,0.4769,0.33440000000000003,0.3416
22500192,2025-11-09,2025-26,NYK,BKN,134,98,232,36.0,1,6.0,1.0,230.4,235.6,3.0,-12.4,15.4,116.7,111.6,5.1000000000000085,113.7,124.0,-10.299999999999997,14.7,16.7,4.1,2.4,7.7,7.1,3.0,1.0,2.0,0,0,18.578282828282827,12.861952861952863,15.75030303030303,9.85050505050505,14.312752525252526,9.67029267029267,27.842519696969696,19.79034026159026,26.87553724747475,20.070347653889318,4.02020202020202,2.0336700336700333,2.968787878787879,1.8689199689199687,3.0156565656565655,1.7753820253820252,6.333333333333333,4.2786195286195285,5.236666666666666,3.5158896658896657,5.42638888888889,3.519651644651644,0.664141414141414,0.2601010101010101,0.5518181818181818,0.20221445221445222,0.4598484848484848,0.18133255633255632,1.075757575757576,0.8796296296296297,1.1321212121212123,0.6713675213675214,1.0267676767676768,0.6363960113960114,2.073232323232323,1.5917508417508417,1.663939393939394,1.355050505050505,1.6157828282828284,1.3471574721574722,23.57878787878788,-16.14257964257964,6.629149434584226,6.294143349461895,0.4471,0.44160000000000005,0.371,0.3338
22500193,2025-11-09,2025-26,ORL,BOS,107,111,218,-4.0,0,5.0,4.0,236.1,223.7,0.9,2.3,-1.4,118.5,113.0,5.5,117.6,110.7,6.8999999999999915,16.7,11.2,5.9,5.3,7.8,9.4,1.0,1.0,0.0,0,0,18.11111111111111,18.794871794871796,15.589743589743588,13.436538461538461,14.888888888888888,13.67147435897436,27.085849816849816,24.526634615384616,25.75337912087912,24.833584401709402,3.5,4.794871794871795,3.3087912087912086,3.269230769230769,2.975274725274725,3.0192307692307696,5.75,4.128205128205129,5.6170329670329675,4.571153846153846,5.180860805860806,4.168269230769231,0.6666666666666666,0.6410256410256411,0.5978021978021978,0.7019230769230769,0.5238095238095238,0.6233974358974359,0.7222222222222222,1.205128205128205,0.8838827838827837,0.9923076923076923,0.8775946275946275,0.9423076923076924,2.25,1.9230769230769234,2.25989010989011,1.505769230769231,2.037087912087912,1.511217948717949,14.918498168498168,25.403846153846153,4.412796798656961,7.437785389747729,0.4857,0.44699999999999995,0.3524,0.3224
22500195,2025-11-09,2025-26,PHI,DET,108,111,219,-3.0,0,7.0,8.0,242.6,226.4,5.8,7.4,-1.6000000000000005,124.2,116.9,7.299999999999997,118.4,109.5,8.900000000000006,14.9,14.7,7.0,7.0,8.1,9.7,0.0,1.0,-1.0,1,0,16.865384615384617,18.253302253302255,17.105897435897436,14.705827505827505,15.97713675213675,13.049728049728051,29.931046581196586,26.68335761460761,28.652307336182343,24.87984929422429,3.068376068376068,4.568570318570319,3.6243589743589744,3.5565268065268065,3.8258547008547006,3.1047979797979797,5.382478632478633,7.024669774669775,5.08948717948718,5.476340326340326,5.269017094017094,4.986693861693862,0.9444444444444445,0.9285159285159286,0.6966666666666667,0.6955710955710955,0.6361111111111112,0.6309246309246309,1.0192307692307692,1.2884615384615385,1.1848717948717948,1.1576923076923076,1.042948717948718,1.1057692307692306,1.420940170940171,2.1555944055944054,1.8225641025641024,1.8625874125874127,1.7688034188034187,1.5906177156177155,24.52820512820513,22.634615384615387,7.789650343657342,7.084367568598139,0.4769,0.48109999999999997,0.3829,0.341
22500197,2025-11-09,2025-26,SAC,MIN,117,144,261,-27.0,0,4.0,5.0,236.4,234.8,-5.8,1.0,-6.8,115.3,117.9,-2.6000000000000085,121.1,116.9,4.199999999999989,14.4,16.6,3.7,5.4,8.7,7.8,1.0,1.0,0.0,0,0,13.611111111111112,14.807692307692307,14.206410256410257,16.734615384615385,13.301638176638178,15.723290598290598,27.492885327635328,27.87197435897436,26.80762048907882,26.727756410256408,2.138888888888889,2.432692307692308,3.026923076923077,2.8762820512820513,3.0409544159544164,2.6330128205128207,6.601851851851852,5.301282051282051,5.418803418803419,5.397435897435897,5.108262108262109,5.261752136752136,0.39814814814814814,0.8076923076923078,0.3183760683760684,0.7679487179487181,0.33938746438746437,0.764957264957265,0.7592592592592592,0.6794871794871794,0.7901709401709403,0.7743589743589743,0.8066239316239315,0.7841880341880341,1.9074074074074074,1.971153846153846,1.729059829059829,2.082692307692308,1.663105413105413,1.9577991452991454,-36.37820512820513,17.169871794871796,6.220352050688105,6.491620068127799,0.4869,0.5006,0.38180000000000003,0.4063
22500205,2025-11-10,2025-26,UTA,MIN,113,120,233,-7.0,0,4.0,6.0,235.1,237.3,-6.9,5.3,-12.2,114.1,121.3,-7.200000000000003,121.0,116.0,5.0,17.3,15.4,3.6,5.8,7.7,8.0,2.0,0.0,2.0,0,1,17.946386946386948,17.04131054131054,13.778438228438228,16.88852258852259,12.905108780108778,15.881461131461132,25.833010295260294,27.96524888074888,25.020329092204094,26.85967321258988,3.5827505827505823,2.6727716727716726,2.8314685314685315,2.934432234432234,2.8595571095571093,2.6889499389499387,3.827505827505828,3.8618233618233617,3.938927738927739,5.456654456654457,4.692696192696193,5.303622303622304,0.27972027972027974,0.7726902726902728,0.2557109557109557,0.8240537240537241,0.2771950271950272,0.814916564916565,0.8111888111888113,0.7863247863247862,0.7291375291375292,0.8157509157509157,0.8127428127428127,0.8336385836385837,1.8648018648018647,1.7924297924297925,1.6037296037296038,2.015018315018315,1.733877233877234,1.8971306471306473,-22.310606060606062,24.587912087912088,7.74355227709819,6.334896483566307,0.43579999999999997,0.5079,0.30839999999999995,0.4168
22500201,2025-11-10,2025-26,MIA,CLE,140,138,278,2.0,1,6.0,7.0,242.1,236.2,6.1,5.2,0.8999999999999995,124.1,120.7,3.3999999999999915,118.0,115.5,2.5,14.9,14.9,3.5,5.3,10.4,10.1,1.0,1.0,0.0,0,0,14.478632478632479,21.123931623931625,14.162179487179486,17.620787545787547,13.25419719169719,15.67116910866911,26.075052350427352,27.344354273504273,24.98740473646724,26.302602920227923,3.5713675213675216,3.6867521367521365,3.1178205128205128,3.1299084249084244,3.002945665445665,2.8518467643467638,3.164957264957265,5.237606837606838,4.798974358974359,4.153278388278388,4.368192918192919,4.050808913308913,0.2811965811965812,0.8363247863247864,0.40621794871794875,0.6839377289377289,0.3385149572649573,0.6340506715506715,1.1803418803418804,1.4162393162393163,1.0207051282051283,1.189029304029304,0.957730463980464,1.1318833943833944,1.805982905982906,2.576068376068376,1.6710897435897436,1.9884981684981682,1.5592414529914531,1.7083638583638583,-4.173626373626373,24.032875457875456,4.339072216609313,7.255107993623769,0.49770000000000003,0.46180000000000004,0.3817,0.3661
22500206,2025-11-10,2025-26,LAC,ATL,102,105,207,-3.0,0,4.0,5.0,223.1,230.2,-4.5,0.2,-4.7,109.3,115.2,-5.900000000000006,113.8,115.0,-1.2000000000000028,17.3,14.6,4.6,5.2,9.6,9.3,1.0,1.0,0.0,0,0,11.28904428904429,14.333838383838385,11.942657342657341,12.411072261072261,10.438325563325561,13.075893550893552,24.443065268065265,25.80278014763015,22.928133093758092,25.660372345247342,3.9090909090909087,3.492929292929293,3.0223776223776224,2.6603729603729604,2.6575369075369077,2.6836441336441337,2.911421911421911,5.412121212121211,4.5006993006993,5.225734265734266,4.153360528360528,5.421445221445222,0.2867132867132867,0.4515151515151515,0.38741258741258744,0.4847552447552448,0.40617715617715616,0.5872960372960373,1.1072261072261071,1.648989898989899,0.972027972027972,1.2032400932400933,0.9072455322455322,1.1027000777000777,1.8065268065268063,1.68989898989899,1.8993006993006993,1.3847086247086249,1.666083916083916,1.403923853923854,-3.65967365967366,-5.9431235431235425,5.276788016693431,4.5903039102802765,0.4833,0.47539999999999993,0.3512,0.3384
22500200,2025-11-10,2025-26,ORL,POR,115,112,227,3.0,1,4.0,5.0,232.2,243.3,-0.2,1.3,-1.5,116.0,122.3,-6.299999999999997,116.2,121.0,-4.799999999999997,16.8,17.6,5.6,4.9,8.0,11.2,0.0,1.0,-1.0,1,0,18.179487179487182,16.473193473193472,15.521978021978024,15.437762237762238,13.66831501831502,15.98018648018648,28.41919413919414,28.149841491841492,25.408217338217337,27.981726884226887,3.564102564102564,4.836829836829837,2.995604395604395,3.5174825174825175,2.663003663003663,3.187645687645688,5.820512820512821,5.477855477855478,5.54945054945055,5.825174825174825,4.791208791208792,5.713286713286713,0.6153846153846154,0.46386946386946387,0.6692307692307693,0.6783216783216783,0.6076923076923076,0.5909090909090909,0.717948717948718,1.0046620046620045,0.7879120879120878,1.048951048951049,0.7065934065934064,1.1177156177156178,2.307692307692308,2.4335664335664333,2.1703296703296706,1.9216783216783213,1.9252747252747253,2.0885780885780885,5.120879120879121,12.741258741258742,6.282089957056914,5.012988980595211,0.475,0.44580000000000003,0.33130000000000004,0.337
